,brand,efficancy_long,efficancy_short,lavant,presentation,product,quality,rincable,smell,texture,chemical,chemical_name
2714,guerlain,,,,4.6,Bronzing Powder Multi-Effects Winter Glow 20 - Terracotta,4.0,,,3.8,13463-67-7,Titanium dioxide
2718,guerlain,,,,,Fairy Mascara - Divinora,3.5,,,,13463-67-7,Titanium dioxide
2754,guerlain,,,,4.6,Red Lip Colour and Gloss Marble - Divinora,4.0,,,4.4,13463-67-7,Titanium dioxide
3132,guerlain,,,,4.5,Add Shimmer Powder for Eyes - Divinora,4.6,,,5.0,13463-67-7,Titanium dioxide
3385,guerlain,,,,4.9,Liplift - Divinora,3.3,,,4.1,13463-67-7,Titanium dioxide
3598,guerlain,,,,4.2,French Manicure Kit,2.4,,,4.3,13463-67-7,Titanium dioxide
3744,guerlain,,,,4.4,Complexion Dore - Terracotta,4.1,,,4.6,13463-67-7,Titanium dioxide
3842,guerlain,,,,,Brush - The Meteorites,4.0,,,,13463-67-7,Titanium dioxide
4166,guerlain,,,,4.7,Terracotta Light,3.8,,,4.7,13463-67-7,Titanium dioxide
4298,guerlain,,,,4.8,Pearly Brush - Terracotta,3.9,,,4.9,13463-67-7,Titanium dioxide
4768,guerlain,,,,4.7,Kiss Kiss Maxi Shine - Divinora,3.7,,,4.7,13463-67-7,Titanium dioxide
4976,guerlain,4.6,4.6,,4.7,Day Comfort Creme IP12 - Super Aqua-Day,3.9,,4.3,4.7,13463-67-7,Titanium dioxide
5822,guerlain,,,,4.4,Compact Teint Expert Confort - Divinora,3.3,,,4.3,13463-67-7,Titanium dioxide
6017,guerlain,3.9,4.0,,4.4,Exceptional Complete Care - Orchidee Imperiale,2.4,,4.4,4.6,13463-67-7,Titanium dioxide
6058,guerlain,,,,4.6,Red Lips Clear Gloss IP10 - Divinora,3.6,,,4.6,13463-67-7,Titanium dioxide
6182,guerlain,,,,4.6,Dore Spray Tanning Hydrating Complexion Body - Terracotta,3.9,,,4.5,13463-67-7,Titanium dioxide
6228,guerlain,,,,4.6,Fond de Teint Anti-Age - Issimaand,4.2,,,4.8,13463-67-7,Titanium dioxide
6628,guerlain,2.5,3.3,,4.3,Eyeserum - Issimaand,2.5,,3.3,3.0,13463-67-7,Titanium dioxide
6824,guerlain,,,,,Incense - Boudoir Venetian,3.0,,5.0,,13463-67-7,Titanium dioxide
6880,guerlain,,,,5.0,Compact Foundation Fresh Anti-aging - Issimaand,3.5,,,4.8,13463-67-7,Titanium dioxide
7039,guerlain,,,,4.9,Palette Effect Soleil - Terracotta,4.0,,,,13463-67-7,Titanium dioxide
7061,guerlain,,,,4.8,KissKiss Laque,3.8,,,4.5,13463-67-7,Titanium dioxide
7230,guerlain,4.1,4.2,,4.4,Creme-Gel Freshness Day - Super Aqua-Day,3.0,,4.2,4.6,13463-67-7,Titanium dioxide
7282,guerlain,,,,,Terracotta brush,3.4,,,,13463-67-7,Titanium dioxide
7310,guerlain,3.1,3.4,,4.6,Super Aqua-Eye,2.6,,4.1,4.3,13463-67-7,Titanium dioxide
7636,guerlain,,,,4.5,Fleur de Teint Ultra Mat,3.1,,,4.3,13463-67-7,Titanium dioxide
7812,guerlain,4.0,5.0,,4.5,Scented water deodorant - L'Instant de Guerlain,4.5,,5.0,4.8,13463-67-7,Titanium dioxide
7814,guerlain,,,4.5,5.0,Soap Perfume - L'Instant de Guerlain,4.0,4.5,5.0,5.0,13463-67-7,Titanium dioxide
7815,guerlain,,,,,Maxi Lash Extreme Volume Mascara,3.4,,,,13463-67-7,Titanium dioxide
8159,guerlain,,,,,Terracotta Retractable Brush,3.1,,,,13463-67-7,Titanium dioxide
8176,guerlain,,,4.8,4.9,Soap Perfume - Shalimar,4.2,4.8,4.8,4.9,13463-67-7,Titanium dioxide
8507,guerlain,,,,5.0,Pearly Touch Voyage Powder - Meteorites,3.4,,,4.6,13463-67-7,Titanium dioxide
8674,guerlain,3.9,4.6,,4.6,Perfume Body Lotion - L'Heure Bleue,4.1,,4.8,4.9,13463-67-7,Titanium dioxide
8676,guerlain,5.0,5.0,,4.9,Deodorant water - L'Heure Bleue,4.5,,5.0,5.0,13463-67-7,Titanium dioxide
8677,guerlain,4.3,4.9,,4.8,Deodorant Spray - Shalimar,4.1,,4.9,4.9,13463-67-7,Titanium dioxide
8678,guerlain,4.6,4.8,,4.6,Deodorant Roll-on - Shalimar,3.3,,4.7,4.4,13463-67-7,Titanium dioxide
8686,guerlain,,,,4.5,Poudre C'est Moi,3.3,,,4.6,13463-67-7,Titanium dioxide
8918,guerlain,,,,4.7,Reflections Velvet - The Meteorites,4.1,,,4.8,13463-67-7,Titanium dioxide
9408,guerlain,4.0,4.2,,4.3,Eye and Lip Creme - Orchidee Imperiale,2.9,,4.5,4.7,13463-67-7,Titanium dioxide
9872,guerlain,,,,4.6,Tan Booster Active Bronzing Powder - Terracotta,3.4,,,4.5,13463-67-7,Titanium dioxide
10000,guerlain,,,,4.2,Spray Mist Tanning powdered - Terracotta,2.9,,,4.2,13463-67-7,Titanium dioxide
10001,guerlain,,,,4.8,KissKiss Gloss High Gloss,3.4,,,4.3,13463-67-7,Titanium dioxide
10301,guerlain,,,,4.3,Hand Cream Super Aqua-Hands,3.0,,4.5,4.5,13463-67-7,Titanium dioxide
10564,guerlain,,,,4.8,Sun Elixir - Terracotta,3.7,,,4.5,13463-67-7,Titanium dioxide
11451,guerlain,,,,4.8,Lip gloss was Emilio Pucci,4.1,,,4.2,13463-67-7,Titanium dioxide
11872,guerlain,3.7,4.0,,3.7,Baume de la Ferte - Divinora,3.0,,3.3,3.7,13463-67-7,Titanium dioxide
12478,guerlain,4.2,4.2,,4.6,Night comforting balm - Super Aqua Night,3.4,,3.8,4.2,13463-67-7,Titanium dioxide
12596,guerlain,4.3,4.3,,4.8,Day Care Triple Action Anti-Wrinkle IP12 - Successlaser3,3.3,,4.5,4.8,13463-67-7,Titanium dioxide
12639,guerlain,,,,4.8,Eastern Powder - Terracotta,4.0,,,4.7,13463-67-7,Titanium dioxide
13104,guerlain,,,,4.2,Super Aqua-Mask,3.5,,4.4,4.7,13463-67-7,Titanium dioxide
13127,guerlain,,,,4.7,Super Aqua-Lotion,3.7,,4.8,4.7,13463-67-7,Titanium dioxide
13128,guerlain,,,,4.6,Creme-Mousse Cleanser - Secret of Purity,3.3,,4.5,4.5,13463-67-7,Titanium dioxide
13129,guerlain,4.4,4.8,,4.8,Super Aqua-Serum,3.7,,4.2,4.9,13463-67-7,Titanium dioxide
13140,guerlain,3.3,4.2,,4.3,Super Aqua-Day Freshness Face Stick,3.0,,4.3,4.0,13463-67-7,Titanium dioxide
2581,essie,,,,3.8,Super Duper Top Coat,3.8,,,3.8,13463-67-7,Titanium dioxide
2582,essie,,,,4.5,Fluid Moisturizing Cream Smoothie,3.5,,5.0,4.5,13463-67-7,Titanium dioxide
2803,essie,,,,4.5,Nail polish,3.7,,,4.5,13463-67-7,Titanium dioxide
7970,essie,,,,4.5,Millionails,4.0,,,4.5,13463-67-7,Titanium dioxide
8008,essie,,,,3.0,Nail Corrector Pen,2.0,,,3.0,13463-67-7,Titanium dioxide
5897,jurlique,4.7,4.7,,4.3,Day Care Face Cream,4.7,,5.0,4.7,13463-67-7,Titanium dioxide
135,the body shop,,,,,Exfoliating Glove,4.5,,,,68603-42-9,Cocamide diethanolamine
286,the body shop,3.5,3.8,,3.7,Face Mask - The Tree Oil has,3.1,,3.5,4.3,68603-42-9,Cocamide diethanolamine
412,the body shop,3.6,4.2,,3.8,Lip Care Stick mentholated,4.1,,4.5,4.2,68603-42-9,Cocamide diethanolamine
492,the body shop,,,,3.5,Tropical Bronzing Powder,3.5,,,4.0,68603-42-9,Cocamide diethanolamine
493,the body shop,3.8,4.1,,4.6,Body Lotion - Clementine,3.7,,4.5,4.4,68603-42-9,Cocamide diethanolamine
494,the body shop,3.8,4.1,,4.1,Oil Body Dryer - Mango,3.6,,4.3,4.6,68603-42-9,Cocamide diethanolamine
497,the body shop,,,,3.9,Refreshing Gel for Legs - Peppermint,3.3,,4.2,3.7,68603-42-9,Cocamide diethanolamine
551,the body shop,4.2,4.6,,4.3,Intensive Moisturizer for Feet,3.9,,4.4,4.5,68603-42-9,Cocamide diethanolamine
595,the body shop,,,,3.5,Fixing Gel - The Green,4.5,,4.5,4.0,68603-42-9,Cocamide diethanolamine
596,the body shop,,,,4.0,Texturizing Wax - Beeswax,3.5,,4.3,3.5,68603-42-9,Cocamide diethanolamine
597,the body shop,4.0,4.5,,4.4,Creme Gloss - Coconut Oil,3.9,,4.7,4.3,68603-42-9,Cocamide diethanolamine
598,the body shop,3.4,4.0,,4.3,Brilliant care for Lips,3.1,,4.7,3.6,68603-42-9,Cocamide diethanolamine
599,the body shop,3.1,3.8,,3.7,Lip Butter - Passion Fruit,3.4,,4.6,3.8,68603-42-9,Cocamide diethanolamine
600,the body shop,,,,4.0,Light Complexion,4.0,,,4.0,68603-42-9,Cocamide diethanolamine
602,the body shop,4.3,4.4,,4.1,Lip Care,2.9,,3.8,4.9,68603-42-9,Cocamide diethanolamine
646,the body shop,,,,4.3,Exotic Lip Duo,3.7,,,4.0,68603-42-9,Cocamide diethanolamine
776,the body shop,,,4.5,4.1,Soap - White Musk,3.5,4.4,4.4,4.3,68603-42-9,Cocamide diethanolamine
805,the body shop,3.4,4.2,,4.5,Deodorant Anti-Perspirant - White Musk,3.5,,4.3,4.3,68603-42-9,Cocamide diethanolamine
886,the body shop,,,4.8,4.5,Shower Gel - Lavender Relaxation,3.5,4.8,3.8,4.8,68603-42-9,Cocamide diethanolamine
969,the body shop,,,,4.2,Radiance Facial Scrub Gel - Aloe Vera,3.6,,3.7,4.2,68603-42-9,Cocamide diethanolamine
983,the body shop,3.6,3.9,,4.1,Lotion SPF 15 - Vitamin E,3.5,,4.0,4.1,68603-42-9,Cocamide diethanolamine
987,the body shop,,,,3.9,Intense Hydrating Mask - Vitamin E,3.5,,4.1,4.1,68603-42-9,Cocamide diethanolamine
1051,the body shop,,,,,Eye Gel Mask,4.5,,,,68603-42-9,Cocamide diethanolamine
1052,the body shop,,,,,Headband,4.1,,,,68603-42-9,Cocamide diethanolamine
1088,the body shop,,,,4.5,Body Spray - White Musk,3.8,,5.0,4.6,68603-42-9,Cocamide diethanolamine
1435,the body shop,3.6,4.0,,3.5,Moisturizing and Soothing Cream - Aloe Vera,3.4,,3.3,4.1,68603-42-9,Cocamide diethanolamine
2129,the body shop,,,,4.2,Base Dual Function,4.1,,,4.5,68603-42-9,Cocamide diethanolamine
2152,the body shop,,,,,Hard Cotton,4.7,,,,68603-42-9,Cocamide diethanolamine
2175,the body shop,2.6,3.2,,4.4,Chamomile Hydrating Supplement has,3.0,,4.1,3.7,68603-42-9,Cocamide diethanolamine
2194,the body shop,,,,3.7,Cleansing Cream - Vitamin E,3.4,,4.2,4.2,68603-42-9,Cocamide diethanolamine
2195,the body shop,,,,,Triangular kit,3.0,,,,68603-42-9,Cocamide diethanolamine
2196,the body shop,,,,,Makeup bag,5.0,,,,68603-42-9,Cocamide diethanolamine
2223,the body shop,4.1,4.4,,3.8,Nourishing Night Cream - Vitamin E,3.7,,4.3,4.4,68603-42-9,Cocamide diethanolamine
2293,the body shop,,,,,Foot Massager,4.7,,,,68603-42-9,Cocamide diethanolamine
2294,the body shop,,,,,Wooden Massager,4.5,,,,68603-42-9,Cocamide diethanolamine
2429,the body shop,,,,4.8,Glimmer Gloss,3.8,,,4.5,68603-42-9,Cocamide diethanolamine
2613,the body shop,3.0,3.6,,3.4,Body Butter - Lawyer,3.1,,2.7,3.3,68603-42-9,Cocamide diethanolamine
2632,the body shop,3.3,4.0,,4.4,Skin Boost - Vitamin C,3.3,,4.4,4.3,68603-42-9,Cocamide diethanolamine
2633,the body shop,,,,4.4,Sweet Tonic - Aloe Vera,3.5,,3.5,4.5,68603-42-9,Cocamide diethanolamine
2669,the body shop,,,3.8,3.5,Shower Creme - Cocoa Butter,3.0,3.4,3.3,3.6,68603-42-9,Cocamide diethanolamine
2675,the body shop,,,,4.0,Lipstick,4.1,,,4.4,68603-42-9,Cocamide diethanolamine
2842,the body shop,,,,5.0,Melt cream - spicy vanilla,4.2,4.6,4.8,4.8,68603-42-9,Cocamide diethanolamine
2843,the body shop,,,3.0,4.0,Shower Gel - Citrus Confit,2.0,4.0,4.0,4.0,68603-42-9,Cocamide diethanolamine
2844,the body shop,,,4.5,4.0,Soap - Citrus Confit,3.0,4.0,3.5,4.5,68603-42-9,Cocamide diethanolamine
2879,the body shop,3.4,3.9,,3.7,Moisturizing Creme - Vitamin E,3.6,,4.4,4.5,68603-42-9,Cocamide diethanolamine
2926,the body shop,3.2,3.8,,3.7,Anti Perspirant Deodorant - Aloe Vera,2.9,,3.4,3.7,68603-42-9,Cocamide diethanolamine
3115,the body shop,4.1,4.2,,4.5,Sparkling milk - Cranberries,3.5,,4.9,4.5,68603-42-9,Cocamide diethanolamine
3117,the body shop,4.1,4.4,,3.9,Protective face - Hemp,3.8,,3.7,4.7,68603-42-9,Cocamide diethanolamine
3164,the body shop,2.1,3.8,,4.4,Body Dryer oil - Olive,2.8,,3.9,4.5,68603-42-9,Cocamide diethanolamine
3201,the body shop,3.5,3.5,,5.0,Crystal Balm,3.0,,4.5,4.3,68603-42-9,Cocamide diethanolamine
3538,the body shop,,,,5.0,Shadow Eyelids and Red Lips Perfume,4.0,,,5.0,68603-42-9,Cocamide diethanolamine
3666,the body shop,,,,4.5,Bath Oil - Scent Me,3.5,3.8,4.8,4.5,68603-42-9,Cocamide diethanolamine
3759,the body shop,3.5,3.7,,3.6,Daily Moisturizer has the Carrot,3.6,,3.3,4.0,68603-42-9,Cocamide diethanolamine
3966,the body shop,,,,4.5,Colour Gloss,3.6,,,4.4,68603-42-9,Cocamide diethanolamine
4020,the body shop,,,,4.2,Body Scrub - Brazil Nut,3.3,,4.7,4.4,68603-42-9,Cocamide diethanolamine
4021,the body shop,,,,4.0,Toning Moisturizer - Vitamin E,3.4,,4.4,4.2,68603-42-9,Cocamide diethanolamine
4023,the body shop,,,4.0,4.0,Shower Gel - Flavour Me,3.5,4.5,4.5,5.0,68603-42-9,Cocamide diethanolamine
4099,the body shop,4.5,4.7,,4.4,Body Butter - Almond,3.7,,4.6,4.6,68603-42-9,Cocamide diethanolamine
4100,the body shop,3.8,4.2,,4.2,Body Butter - Strawberry,3.3,,4.1,4.3,68603-42-9,Cocamide diethanolamine
4101,the body shop,,,,4.4,Exfoliating Shower Gel - Strawberry,3.3,,4.5,4.2,68603-42-9,Cocamide diethanolamine
4102,the body shop,,,,4.3,Exfoliating Shower Gel - Clementine,3.3,,4.6,4.3,68603-42-9,Cocamide diethanolamine
4132,the body shop,,,,,Eyelash and Eyebrow comb,2.4,,,,68603-42-9,Cocamide diethanolamine
4157,the body shop,,,,4.0,No base Grasse 8 Index,3.9,,,4.0,68603-42-9,Cocamide diethanolamine
4158,the body shop,,,,3.9,Hydrating Base SPF 15,4.0,,,4.6,68603-42-9,Cocamide diethanolamine
4311,the body shop,,,,4.4,Nail polish,4.1,,,4.4,68603-42-9,Cocamide diethanolamine
4371,the body shop,,,,4.0,Exfoliating Mask 3 in 1 Oats and Honey,3.6,,4.5,4.3,68603-42-9,Cocamide diethanolamine
4525,the body shop,4.3,4.5,,4.5,Body Creme - Flavour Me,4.5,,4.5,4.5,68603-42-9,Cocamide diethanolamine
4654,the body shop,4.1,4.4,,4.5,Body Butter - Papaya,3.6,,4.8,4.5,68603-42-9,Cocamide diethanolamine
4684,the body shop,,,,4.6,Red Satin,3.3,,,4.4,68603-42-9,Cocamide diethanolamine
4852,the body shop,,,,4.3,Aqua Shadow Creme,2.7,,,3.7,68603-42-9,Cocamide diethanolamine
5026,the body shop,4.2,4.5,,4.6,Body Lotion - Almond,4.0,,4.6,4.7,68603-42-9,Cocamide diethanolamine
5075,the body shop,,,,4.5,Fogger Face - Vitamin E,3.5,,4.3,4.4,68603-42-9,Cocamide diethanolamine
5178,the body shop,,,,4.8,Lips unreal,2.4,,,4.2,68603-42-9,Cocamide diethanolamine
5203,the body shop,4.1,4.4,,3.6,Moisturizing Creme - Jojoba,3.6,,4.1,4.2,68603-42-9,Cocamide diethanolamine
5258,the body shop,,,,4.6,Body Spray - Rose Cassis,4.2,,4.8,4.5,68603-42-9,Cocamide diethanolamine
5523,the body shop,,,,4.7,Gloss powder,3.7,,,4.7,68603-42-9,Cocamide diethanolamine
5524,the body shop,,,,4.4,Beads Bronze Sun,4.0,,,4.5,68603-42-9,Cocamide diethanolamine
5526,the body shop,,,,4.4,Waves of Light,3.8,,,4.4,68603-42-9,Cocamide diethanolamine
5527,the body shop,,,,4.4,Sun Gel Nacre,2.8,,,4.4,68603-42-9,Cocamide diethanolamine
5528,the body shop,,,,4.7,Regard key,4.0,,,4.3,68603-42-9,Cocamide diethanolamine
5529,the body shop,,,,4.8,Sun Dome,2.8,,,5.0,68603-42-9,Cocamide diethanolamine
5816,the body shop,4.2,4.6,,4.2,Lip Care Stick - Cocoa Butter,3.9,,4.5,4.6,68603-42-9,Cocamide diethanolamine
5826,the body shop,,,,3.9,Protective Hand Creme for Hemp,3.8,,3.4,4.4,68603-42-9,Cocamide diethanolamine
5903,the body shop,3.1,3.5,,3.9,Facial Cleanser - The Tree Oil has,3.0,,2.7,4.2,68603-42-9,Cocamide diethanolamine
5965,the body shop,,,,,Ultra-Absorbent Sponge,4.0,,,,68603-42-9,Cocamide diethanolamine
6142,the body shop,3.2,4.1,,4.6,Oil Washing Body - Coconut,3.7,,4.6,4.6,68603-42-9,Cocamide diethanolamine
6195,the body shop,3.6,4.1,,4.4,Body Butter - Banana,3.6,,4.0,4.5,68603-42-9,Cocamide diethanolamine
6335,the body shop,4.0,4.7,,4.3,Bath Salts for Feet mentholated,4.0,,4.3,4.6,68603-42-9,Cocamide diethanolamine
6776,the body shop,,,,3.9,Hydrating Creme Cleanser - Jojoba,3.8,,4.5,4.5,68603-42-9,Cocamide diethanolamine
6873,the body shop,4.3,4.6,,4.2,Body Butter - Brazil Nut,3.7,,4.6,4.4,68603-42-9,Cocamide diethanolamine
6879,the body shop,,,,4.2,Body Scrub has Nut,3.3,,4.6,4.2,68603-42-9,Cocamide diethanolamine
6968,the body shop,,,,3.9,Body Scrub - Almond,3.7,,4.7,4.3,68603-42-9,Cocamide diethanolamine
7265,the body shop,2.8,4.3,,4.3,Refreshing Spray for Feet - Peppermint,3.6,,4.5,4.4,68603-42-9,Cocamide diethanolamine
7309,the body shop,4.3,4.8,,4.8,Daily Moisturizer SPF 15 - Vitamin C,4.0,,4.8,4.3,68603-42-9,Cocamide diethanolamine
7464,the body shop,1.3,2.3,,3.3,After-Gloss Shampoo - Olive,1.8,,3.0,3.8,68603-42-9,Cocamide diethanolamine
7776,the body shop,4.3,4.5,,4.5,Body Butter - spicy vanilla,3.7,,4.5,4.5,68603-42-9,Cocamide diethanolamine
7777,the body shop,4.3,4.4,,4.4,Body Butter Apple Doree,3.5,,4.6,4.6,68603-42-9,Cocamide diethanolamine
7778,the body shop,,,,4.0,Powder Eclat Cranberries,4.0,,,4.0,68603-42-9,Cocamide diethanolamine
7780,the body shop,2.9,4.0,,4.0,Lip balm for glittery - Apple Doree,3.6,,4.1,4.2,68603-42-9,Cocamide diethanolamine
7781,the body shop,4.0,4.4,,4.1,Lip balm spicy vanilla,4.2,,4.9,4.6,68603-42-9,Cocamide diethanolamine
7782,the body shop,3.8,4.6,,4.0,Lip balm for glittery - Cranberries,4.2,,5.0,4.4,68603-42-9,Cocamide diethanolamine
7783,the body shop,,,,3.0,Sparkling Bubble Bath - Apple Doree,2.0,4.0,4.0,4.0,68603-42-9,Cocamide diethanolamine
7784,the body shop,,,4.4,4.4,Soap - spicy vanilla,4.0,4.3,4.6,4.2,68603-42-9,Cocamide diethanolamine
7785,the body shop,,,5.0,5.0,Soap - Cranberries,5.0,5.0,5.0,5.0,68603-42-9,Cocamide diethanolamine
7786,the body shop,,,,4.0,Bubble Bath - Cranberries,2.6,4.2,4.2,4.2,68603-42-9,Cocamide diethanolamine
7787,the body shop,4.2,4.8,,4.6,Sparkling milk - Apple Doree,3.8,,4.4,4.8,68603-42-9,Cocamide diethanolamine
7788,the body shop,4.1,4.4,,4.7,Sparkling milk - spicy vanilla,3.9,,4.4,4.3,68603-42-9,Cocamide diethanolamine
7790,the body shop,,,4.5,4.5,Liquid Soap - Apple Doree,2.0,4.0,4.0,4.5,68603-42-9,Cocamide diethanolamine
7791,the body shop,,,5.0,4.5,Liquid Soap - spicy vanilla,3.5,5.0,5.0,5.0,68603-42-9,Cocamide diethanolamine
7792,the body shop,,,4.4,4.4,Liquid Soap - Cranberries,2.8,4.0,4.6,4.0,68603-42-9,Cocamide diethanolamine
7793,the body shop,,,,4.5,Melt cream for Bain - spicy vanilla,3.5,4.0,5.0,5.0,68603-42-9,Cocamide diethanolamine
7794,the body shop,,,5.0,4.3,Shower Gel - Apple Doree,3.0,4.8,5.0,4.7,68603-42-9,Cocamide diethanolamine
7795,the body shop,,,4.5,4.0,Shower Gel - spicy vanilla,3.6,4.5,4.5,4.3,68603-42-9,Cocamide diethanolamine
7796,the body shop,,,4.2,4.4,Shower Gel - Cranberries,3.2,4.2,4.0,4.0,68603-42-9,Cocamide diethanolamine
7831,the body shop,4.0,4.3,,4.3,Treatment for Lips SPF 15 - Vitamin E,3.8,,3.9,4.2,68603-42-9,Cocamide diethanolamine
7839,the body shop,3.5,3.8,3.9,3.6,Moisturizing Shampoo - Honey,3.2,4.0,4.6,3.8,68603-42-9,Cocamide diethanolamine
7848,the body shop,4.2,4.4,,4.1,Moisturizing Shampoo after - Honey,3.9,,4.6,4.4,68603-42-9,Cocamide diethanolamine
7855,the body shop,4.0,4.5,,3.7,Body Lotion - Vanilla,3.7,,4.4,4.6,68603-42-9,Cocamide diethanolamine
7865,the body shop,,,4.5,3.8,Bath and Shower Gel has Vanilla,3.6,4.4,4.6,4.3,68603-42-9,Cocamide diethanolamine
7907,the body shop,,,,5.0,Shining Lip Duo - Cranberries,3.0,,,4.0,68603-42-9,Cocamide diethanolamine
7931,the body shop,,,,3.7,Eyelids effect,2.8,,,3.6,68603-42-9,Cocamide diethanolamine
7932,the body shop,,,,4.6,Glittering Eyeliner,3.4,,,3.2,68603-42-9,Cocamide diethanolamine
7933,the body shop,,,,4.0,Look and Palette Cheeks,3.5,,,,68603-42-9,Cocamide diethanolamine
7934,the body shop,,,,4.0,Powder Sparks,3.0,,,4.0,68603-42-9,Cocamide diethanolamine
7946,the body shop,,,4.4,4.1,Shower Gel - Neroli Jasmin,3.2,4.3,4.6,4.4,68603-42-9,Cocamide diethanolamine
7947,the body shop,3.8,4.5,,4.5,Body Mist - Neroli Jasmin,3.8,,4.7,4.2,68603-42-9,Cocamide diethanolamine
7948,the body shop,3.6,4.3,,4.0,Body Lotion - Neroli Jasmin,3.8,,4.7,4.5,68603-42-9,Cocamide diethanolamine
8178,the body shop,3.9,4.3,,3.8,Protective Cream for Feet - Hemp,3.4,,3.4,4.2,68603-42-9,Cocamide diethanolamine
8236,the body shop,,,,4.2,Fard eyebrows compact,4.2,,,4.4,68603-42-9,Cocamide diethanolamine
8359,the body shop,,,,4.1,Loose Powder,3.5,,,4.5,68603-42-9,Cocamide diethanolamine
8387,the body shop,3.8,4.2,,3.9,Stick Lip Protector - Hemp,3.2,,3.6,4.1,68603-42-9,Cocamide diethanolamine
8590,the body shop,3.3,3.6,,4.3,Clarifying Night Care - Algae,3.1,,3.8,4.3,68603-42-9,Cocamide diethanolamine
8656,the body shop,,,,3.3,Calming Cleansing Facial - Aloes,3.4,,3.7,4.1,68603-42-9,Cocamide diethanolamine
8752,the body shop,,,,4.3,Beads Sun,3.5,,,4.2,68603-42-9,Cocamide diethanolamine
8920,the body shop,4.0,4.3,,4.3,Body Butter - Pink Grapefruit,3.5,,4.6,4.5,68603-42-9,Cocamide diethanolamine
9049,the body shop,,,,4.1,Light touch,2.6,,,3.8,68603-42-9,Cocamide diethanolamine
9058,the body shop,,,,,Face and Body Brush,4.7,,,,68603-42-9,Cocamide diethanolamine
9111,the body shop,,,,,Lip Brush has / Concealer,4.8,,,,68603-42-9,Cocamide diethanolamine
9175,the body shop,3.9,4.2,,4.1,Ylang Ylang Massage Oil - Sensual,4.0,,3.8,4.7,68603-42-9,Cocamide diethanolamine
9256,the body shop,,,,4.1,Intensive Hand - Sweet Almond Oil,4.1,,4.7,4.7,68603-42-9,Cocamide diethanolamine
9359,the body shop,,,,3.8,Lavender Foaming Bath - Relaxation,4.0,4.5,4.5,4.3,68603-42-9,Cocamide diethanolamine
9426,the body shop,4.0,4.3,,4.0,Massage Oil Mandarin - Inspiration,3.9,,3.8,4.4,68603-42-9,Cocamide diethanolamine
9809,the body shop,,,,,Face Brush,4.6,,,,68603-42-9,Cocamide diethanolamine
9823,the body shop,,,,4.2,Blusher,4.2,,,4.6,68603-42-9,Cocamide diethanolamine
9893,the body shop,4.2,4.4,,3.9,Monoi Moisture Balm - Spa Wisdom,3.4,,4.4,4.3,68603-42-9,Cocamide diethanolamine
9947,the body shop,3.2,3.6,,3.9,Matte Moisturizing Fluid SPF 15 - Algae,3.2,,3.9,3.7,68603-42-9,Cocamide diethanolamine
9978,the body shop,3.5,4.0,,3.8,Lip Butter - Almond,3.5,,4.7,4.2,68603-42-9,Cocamide diethanolamine
10027,the body shop,3.5,4.2,,4.4,Body Moisturizing Jelly - Pink Grapefruit,3.4,,4.8,4.6,68603-42-9,Cocamide diethanolamine
10218,the body shop,4.0,4.5,,4.3,Body Lotion - Shea,3.9,,4.5,4.6,68603-42-9,Cocamide diethanolamine
10219,the body shop,3.8,4.5,,3.9,Body Milk - Rose Cassis,3.6,,4.2,4.5,68603-42-9,Cocamide diethanolamine
10222,the body shop,,,4.9,4.0,Shower Gel - Rose Cassis,4.0,4.7,4.9,4.7,68603-42-9,Cocamide diethanolamine
10236,the body shop,,,,,Brush Bevels,4.5,,,,68603-42-9,Cocamide diethanolamine
10336,the body shop,4.0,4.2,,4.1,Body Butter - Vitamin E,3.4,,4.3,4.2,68603-42-9,Cocamide diethanolamine
10374,the body shop,,,,4.0,Hand Scrub - Sweet Almond Oil,3.4,,4.7,3.8,68603-42-9,Cocamide diethanolamine
10383,the body shop,,,,4.2,Shadow Paupieres,3.7,,,4.4,68603-42-9,Cocamide diethanolamine
10633,the body shop,3.0,4.0,,4.4,Shampoo after rebalancing - Nettle,2.6,,4.2,4.4,68603-42-9,Cocamide diethanolamine
10652,the body shop,4.0,4.4,,4.6,Body Butter - Fishing,3.5,,4.6,4.6,68603-42-9,Cocamide diethanolamine
10857,the body shop,3.0,3.7,,3.9,Matte Moisturizing Gel - The Tree Oil has,2.9,,3.0,4.2,68603-42-9,Cocamide diethanolamine
10916,the body shop,3.4,4.0,,3.7,Creme de Jour Matifiante - Algae,3.3,,4.0,4.5,68603-42-9,Cocamide diethanolamine
10998,the body shop,,,,,Retractable Brush,4.8,,,,68603-42-9,Cocamide diethanolamine
10999,the body shop,,,,4.3,Compact Powder,3.9,,,4.5,68603-42-9,Cocamide diethanolamine
11034,the body shop,4.2,4.5,,4.3,Creme Body Lotion - Mango,3.7,,4.7,4.5,68603-42-9,Cocamide diethanolamine
11058,the body shop,,,,,Moisturizing Socks,3.2,,,,68603-42-9,Cocamide diethanolamine
11059,the body shop,,,,,Facial Exfoliating Sponge,4.6,,,,68603-42-9,Cocamide diethanolamine
11154,the body shop,3.5,4.3,,4.0,Body Lotion - Peppermint Freshness,3.7,,4.8,4.3,68603-42-9,Cocamide diethanolamine
11211,the body shop,4.1,4.4,,4.4,Moisturizing Creme Lotion - Brazil Nut,3.8,,4.8,4.7,68603-42-9,Cocamide diethanolamine
